Sorting Algorithms - Performance Testing : 2020 Nov 24 @ 02:10:58
Size,Input,Test,Insertion Sort,Bubble Sort,Merge Sort
100,1,1,0,1,1
100,1,2,0,0,0
100,1,3,0,1,0
100,2,1,0,0,0
100,2,2,0,1,0
100,2,3,0,0,0
1000,1,1,2,4,1
1000,1,2,5,2,0
1000,1,3,0,5,0
1000,2,1,0,5,1
1000,2,2,0,4,0
1000,2,3,0,4,0
5000,1,1,2,33,1
5000,1,2,2,33,1
5000,1,3,2,33,0
5000,2,1,2,33,0
5000,2,2,2,32,1
5000,2,3,2,33,1
10000,1,1,9,140,2
10000,1,2,9,142,1
10000,1,3,9,141,1
10000,2,1,9,141,1
10000,2,2,10,141,2
10000,2,3,9,142,1
25000,1,1,57,1028,3
25000,1,2,56,1034,4
25000,1,3,57,1033,4
25000,2,1,57,1029,5
25000,2,2,57,1027,3
25000,2,3,57,1028,3
50000,1,1,226,4512,6
50000,1,2,227,4532,5
50000,1,3,227,4521,6
50000,2,1,228,4515,7
50000,2,2,228,4518,7
50000,2,3,229,4516,8
75000,1,1,510,10571,11
75000,1,2,510,10563,11
75000,1,3,512,10591,11
75000,2,1,509,10589,12
75000,2,2,512,10604,12
75000,2,3,509,10608,12
100000,1,1,902,19310,15
100000,1,2,908,19353,16
100000,1,3,903,19288,16
100000,2,1,902,19288,15
100000,2,2,902,19286,16
100000,2,3,922,19264,11
